ID|CourseName|Instructor|Credit|Pre-requisite|Reference
VM555|Engineering Optimization||3|Vv256 Applied Calculus IV or Vv286 Honors Mathematics IV (NB: Course for graduate programs, but open to undergraduate students as well)|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=377
VE562|Nonlinear Systems and Control||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=325
VM560|Linear Systems||3|Vm461 or Ve460 (NB: Course for graduate programs, but open to undergraduate students as well)|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=378
VE570|Parallel Computer Architecture||3|Ve470 Computer Architecture|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=326
VM564|Linear Systems||||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=482
VE571|Principles of Real-Time Computing||3|Ve470 Computer Architecture and Ve482 Introduction to Operating Systems|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=327
VM565|Structural, Physical and Chemical Characterization of Materials||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=483
VE572|Methods and Tools for Big Data||3|Ve401 and Ve482|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=328
VM567|Introduction to Robotics||3|Vm240 Introduction to Dynamics and Vibrations and Vm360 Modeling, Analysis and Control of Dynamic Systems, or instructor permission|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=484
VE573|Microarchitecture||3|Ve470 Computer Architecture|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=329
VM583|Manufacturing Processes and Systems||3|Vm250 Design and Manufacturing I, or consent of instructor|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=485
VE578|Computer-Aided Design Verification of Digital Systems||3|Ve478 Logic Circuit Synthesis|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=330
VM584|Control of Manufacturing Systems||3|Vm461 Automatic Control, or equivalent|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=486
VE579|Digital System Testing||3|Ve281 Data Structures and Algorithms|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=331
VM586|Laser Materials Processing||3|Permission of instructor|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=487
VE582|Advanced Operating Systems||3|Ve482 Introduction to Operating Systems|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=332
VM595|Master Thesis||3|Approval of adviser|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=488
VE586|Advanced Computer Networks||3|Ve489 Computer Communication Networks|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=333
VE587|Parallel Computing||3|Ve281 Data Structures and Algorithms|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=334
VE588|Computer and Network Security||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=335
VE589|Data Networks and Queuing Theory||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=336
VE593|Problem Solving with AI Techniques|||Necessary computer science and mathematical background covered in VE281, VE203, VV216/256/286|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=337
VE595|Master Thesis||3|Approval of adviser|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=338
